name,description
Teaching Tips for Tricky English Grammar,"This is the third course in the Teach English: Intermediate Grammar specialization. It will be useful to ESL teachers or those interested in learning to teach English language, but it is not an introduction to teaching course. You will learn about some specific problems students have learning intermediate grammar. You will learn why students have trouble with this tricky grammar and find out new ways to help students conquer it. You will also learn a variety of activities for teaching this content in a fun and interesting way. Finally, you will have opportunities to practice the skills you learn by creating sample assignments and recording short videos of your teaching demonstrations using a video camera, webcam, or smartphone. Learners wanting a grade will be required to submit short videos of their teaching skills.\n\nOnly learners who pay for the course will be able to take the graded quizzes or submit assignments for feedback. The free version provides access to the lectures and practice activities only"
Reason and Persuasion: Thinking Through Three Dialogues By Plato,"In this course we study the ancient, Socratic art of blowing up your beliefs as you go, to make sure they're built to last. We spend six weeks studying three Platonic dialogues - \""Euthyphro\"", \""Meno\"", \""Republic\"" Book I - then two weeks pondering a pair of footnotes to Plato: contemporary moral theory and moral psychology. \n\nPlatonic? Socratic? Socrates was the teacher, but he said he never did. Plato was the student who put words in his teacher's mouth. You'll get a feel for it.\n\nWe have a book: the new 4th edition of \""Reason and Persuasion\"", by the instructor (and his wife, Belle Waring, the translator.) It contains the Plato you need, plus introductory material and in-depth, chapter-length commentaries. (Don't worry! John Holbo knows better than to read his book to the camera. The videos cover the same material, but the presentation is different.) \n\nThe book is offered free in PDF form - the whole thing, and individual chapter slices. It is also available in print and other e-editions. See the course content for links and information.\n\nThe course is suitable for beginning students of Plato and philosophy, but is intended to offer something to more advanced students as well. We seek new, odd angles on old, basic angles. Tricky! The strategy is to make a wide-ranging, interdisciplinary approach.  Lots of contemporary connections, to make the weird bits intuitive; plus plenty of ancient color, still bright after all these years. So: arguments and ideas, new possibilities, old stories, fun facts. Plus cartoons. \n\nThe results can get elaborate (some book chapters and some lesson videos run long.) But each video comes with a brief summary of its contents. The lessons progress. I put them in this order for reasons. But there's no reason you can't skip over and around to find whatever seems most interesting. There are any number of self-contained mini-courses contained in this 8-week course. You are welcome to them.\n\nPlato has meant different things to different people. He's got his own ideas, no doubt. (Also, his own Ideas.) But these have, over the centuries, been worn into crossing paths for other feet; been built up into new platforms for projecting other voices. (Plato did it to Socrates, so fair is fair.) So your learning outcome should be: arrival somewhere interesting, in your head, where you haven't been before. I wouldn't presume to dictate more exactly"
Core Concepts of Accounting – Numbers and People,"Whenever the word “accounting” is pronounced, it is immediately associated with the need to memorize endless boring numbers. However, it is the common financial statements that contain important information that provides inputs for valuation of investment projects. The only challenge is how to properly extract them.\n\nAccounting and finance are indeed intertwined. Sometimes people that are not experienced in the area even mix them up. But most often emphasis in accounting is on numbers. Still, the deep understanding of key accounting concepts helps reveal the interests and actions of people behind these numbers. And the human dimension of accounting adds invaluable insight in the potential of successful project implementation.\n\nThis Course discusses core ideas and concepts of both financial and managerial accounting. It by no means pretends to be comprehensive to any extent. But, being rather an accounting overview, it focuses on the issues that are most relevant and important for effective valuation of investment projects.\n\nThe learners will gain insight into the essence of accounting. They will be able to use the obtained knowledge and skills to successfully advance in their career at a financial institution, as well as in the area of financial management at non-financial businesses. To pursue a career in accounting, a more detailed study is strongly recommended."
Our Energy Future,"This course is designed to introduce students to the issues of energy in the 21st century – including food and fuels – which are inseparably linked – and will discuss energy production and utilization from the biology, engineering, economics, climate science, and social science perspectives. \n\nThis course will cover the current production and utilization of energy, as well as the consequences of this use, examining finite fossil energy reserves, how food and energy are linked, impacts on the environment and climate, and the social and economic impacts of our present energy and food production and use. After the introductory lectures, we will examine the emerging field of sustainable energy, fuel and food production, emphasizing the importance of developing energy efficient and sustainable methods of production, and how these new technologies can contribute to replacing the diminishing supplies of fossil fuels, and reduce the consequences of carbon dioxide release into the environment. This course will also cover the importance of creating a sustainable energy future for all societies including those of the developing world.  Lectures will be prepared and delivered by leading UC San Diego and Scripps Institution of Oceanography faculty and industry professionals across these areas of expertise"
"Learning, Knowledge, and Human Development","This course sets out to provide an understanding of theories of learning and development and how these theories relate to educational technology. It has two components. The first is theoretical, in which we attempt to develop an overall frame of reference, locating approaches to the psychology of learning in terms of large paradigm shifts, from ‘behaviorism’ to ‘brain developmentalism’ to ‘social cognitivism’. The second component is practical, in which we will use these theoretical concepts to ‘parse’ a technology-mediated learning environment for its underlying presuppositions"
Mountains 101,"Mountains 101­­ is a broad and integrated overview of the mountain world. This 12-lesson course covers an interdisciplinary field of study focusing on the physical, biological, and human dimensions of mountain places in Alberta, Canada, and around the world. Specifically, we'll study the geological origins of mountains, how they’re built-up and worn-down over time; we’ll learn about their importance for biodiversity and water cycles, globally and locally; we’ll explore their cultural significance to societies around the globe, and how that relationship has evolved over time; and we’ll learn how mountains are used, how they’re protected, and how today they’re experiencing rapid change in a warming climate. \n\nAt the end of each lesson, Mountains 101 will also provide learners with some smart tricks -- Tech Tips -- to safely enjoy time in the high alpine environment: from how to pick the best footwear for hiking to making smart decisions in avalanche terrain. \n\nWe’ll be delivering your online lessons from valley bottoms to mountaintops, from museums and labs, to alpine huts and other spectacular alpine sites, and we’ll do so with the help of a whole host of experts.\n \nWe invite you to join us for this online adventure! The mountains are calling..."
Front-End Web Development with React,"This course explores Javascript based front-end application development, and in particular the React library (Currently Ver. 16.3). This course will use JavaScript ES6 for developing React application. You will also get an introduction to the use of Reactstrap for Bootstrap 4-based responsive UI design. You will be introduced to various aspects of React components. You will learn about React router and its use in developing single-page applications. You will also learn about designing controlled forms. You will be introduced to the Flux architecture and Redux. You will explore various aspects of Redux and use it to develop React-Redux powered applications. You will then learn to use Fetch for client-server communication and the use of REST API on the server side. A quick tour through React animation support and testing rounds off the course. You must have preferably completed the previous course in the specialization on Bootstrap 4, or have a working knowledge of Bootstrap 4 to be able to navigate this course. Also a good working knowledge of JavaScript, especially ES 5 is strongly recommended.\n\nAt the end of this course you will:\n\n- Be familiar with client-side Javascript application development and the React library\n- Be able to implement single page applications in React\n- Be able to use various React features including components and forms\n- Be able to implement a functional front-end web application using React\n- Be able to use Reactstrap for designing responsive React applications\n- Be able to use Redux to design the architecture for a React-Redux application"
Converter Control,"This course teaches how to design a feedback system to control a switching converter. The equivalent circuit models derived in the previous courses are extended to model small-signal ac variations. These models are then solved, to find the important transfer functions of the converter and its regulator system. Finally, the feedback loop is modeled, analyzed, and designed to meet requirements such as output regulation, bandwidth and transient response, and rejection of disturbances.\n\nUpon completion of this course, you will be able to design and analyze the feedback systems of switching regulators.\n\nThis course assumes prior completion of courses Introduction to Power Electronics and Converter Circuits"
"Responsive Website Basics: Code with HTML, CSS, and JavaScript","In this course you will learn three key website programming and design languages: HTML, CSS and JavaScript. You will create a web page using basic elements to control layout and style.  Additionally, your web page will support interactivity. \n\nAt the end of the course, you will be able to:\n\n1. Define the purpose of HTML, CSS and JavaScript\n2. Make a simple web page using HTML\n3. Use CSS to control text styles and layout\n4. Use CSS libraries such as Bootstrap to create responsive layouts\n5. Use JavaScript variables and functions\n6. Manipulate web page content using JavaScript\n7. Respond to user input using JavaScript\n\nIn this course, you will complete: \n2 assignments writing HTML, CSS and JavaScript, each taking ~1 hour to complete\n4 quizzes, each taking ~20 minutes to complete\n1 programming exercise~30 minutes to complete\nmultiple practice quizzes, each taking ~5 minutes to complete\n\nParticipation in or completion of this online course will not confer academic credit for University of London programmes"
Industrial IoT Markets and Security,"Developing tomorrow's industrial infrastructure is a significant challenge. This course goes beyond the hype of consumer IoT to emphasize a much greater space for potential embedded system applications and growth: The Industrial Internet of Things (IIoT), also known as Industry 4.0. Cisco’s CEO stated: “IoT overall is a $19 Trillion market. IIoT is a significant subset including digital oilfield, advanced manufacturing, power grid automation, and smart cities”.\n\nThis is part 1 of the specialization. The primary objective of this specialization is to closely examine emerging markets, technology trends, applications and skills required by engineering students, or working engineers, exploring career opportunities in the IIoT space. The structure of the course is intentionally wide and shallow: We will cover many topics, but will not go extremely deep into any one topic area, thereby providing a broad overview of the immense landscape of IIoT. There is one exception: We will study security in some depth as this is the most important topic for all \""Internet of Things\"" product development.\n\nIn this course students will learn :\n  * What Industry 4.0 is and what factors have enabled the IIoT\n  * Key skills to develop to be employed in the IIoT space\n  * What platforms are, and also market information on Software and Services\n  * What the top application areas are (examples include manufacturing and oil &gas)\n  * What the top operating systems are that are used in IIoT deployments\n  * About networking and wireless communication protocols used in IIoT deployments\n  * About computer security; encryption techniques and secure methods for insuring data integrity and authentication"
